text,category
I have been waiting over a week. Is the card still coming?,Negative Customer Experience
"How do I know if I will get my card, or if it is lost?",Negative Customer Experience
My new card has not been delivered to my home yet. What is going on?,Negative Customer Experience
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",Negative Customer Experience
"Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?",Negative Customer Experience
I think the currency exchange that's been applied is wrong.,Negative Customer Experience
The exchange rate I was charged for a purchase was not right.,Negative Customer Experience
Can you please explain why the exchange rate for the item I bought is wrong?,Negative Customer Experience
I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,Negative Customer Experience
My payment has an incorrect exchange rate.,Negative Customer Experience
my exchange rate looks wrong for my last payment,Negative Customer Experience
The exchange rate you are using is bad.This can't be the official interbank exchange rate.,Negative Customer Experience
I was charged the wing amount for an item.,Negative Customer Experience
the exchange rate on my payment was wrong,Negative Customer Experience
Why is the exchange rate terrible?  That can't be close to the actual interbank rate.,Negative Customer Experience
An incorrect exchange rate was applied to an item I bought.,Negative Customer Experience
The exchange rate was incorrect for an item I bought.,Negative Customer Experience
The exchange rate on my payment doesn't look right,Negative Customer Experience
"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?",Negative Customer Experience
This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,Negative Customer Experience
After purchasing an item I noticed the exchange rate was incorrect.,Negative Customer Experience
The amount of exchange was not correct for the item i bought.,Negative Customer Experience
The exchange rate from my card payment isn't right.,Negative Customer Experience
My exchange rate isn't correct.,Negative Customer Experience
Why was the exchange rate so wrong when I bought something!,Negative Customer Experience
My exchange rate was wrong for an Item I bought!,Negative Customer Experience
I was using a foreign currecy to make a payment and the applied the wrong rate.,Negative Customer Experience
The exchange rate was incorrect for this item I bought.,Negative Customer Experience
I purchased something overseas and the incorrect exchange rate was applied.,Negative Customer Experience
The exchange rate is incorrect for my payment.,Negative Customer Experience
The item i bought exchanged rate was incorrect.,Negative Customer Experience
I'm on holiday and I noticed a different amount for exchange rate.  Can you explain?,Negative Customer Experience
I bought something in another country but the exchange rate is wrong,Negative Customer Experience
I bought an item and the exchange rate was wrong.,Negative Customer Experience
Exchange rate for my card payment is wrong,Negative Customer Experience
the exchange rate at which my card payment is at is wrong,Negative Customer Experience
There was a problem with the exchange rate on a purchase.,Negative Customer Experience
"I recently purchased something, and the exchange rate was wrong.",Negative Customer Experience
What if there is an error on the exchange rate?,Negative Customer Experience
Why is my exchange rate wrong?,Negative Customer Experience
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,Negative Customer Experience
I used foreign currency to buy something and I think the rate applied is incorrect.,Negative Customer Experience
This exchange rate on my purchase is wrong.,Negative Customer Experience
Why is your exchange rate so bad?,Negative Customer Experience
The exchange rate looks wrong on a holiday purchase,Negative Customer Experience
"I purchased something abroad, and the exchange rate that was applied was wrong.",Negative Customer Experience
I bought something and I take issue with the exchange rate applied.,Negative Customer Experience
I think there has been a mistake on my exchange rate for this purchase.,Negative Customer Experience
You did not give me the correct exchange rate for an item that I bought.,Negative Customer Experience
I checked on google and the exchange rate you are using is really bad. Can you update it?,Negative Customer Experience
"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",Negative Customer Experience
"In regards to my card payment, the exchange rate is incorrect.",Negative Customer Experience
I bough an item and the exchange rate was incorrect.,Negative Customer Experience
Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate,Negative Customer Experience
I question today's exchange rate for rubles into pounds. I was hoping for a better return.,Negative Customer Experience
I feel as though I have been over charged for the exchange rate on my payment on last Saturday.,Negative Customer Experience
My currency rate is inaccurate.,Negative Customer Experience
The currency exchange rate was wrong for a purchase I made.,Negative Customer Experience
I purchased something abroad and the incorrect exchange rate was applied.,Negative Customer Experience
Your exchange rate was off.  I was charged extra on my payment that I made last Saturday.,Negative Customer Experience
